zeitstempel,nr,name,meldungen_anz,meldungen_max,wahlberechtigt,waehler_regulaer,waehler_wahlschein,waehler_nv,stimmen,stimmen_wahlschein,ungueltig,gueltig,ja,nein
2022-11-05T10:07:24Z,01001,010-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,01002,010-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,04001,040-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,07001,070-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,08001,080-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,09001,090-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,10001,100-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,10002,100-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,11001,110-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,11002,110-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,12001,120-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,12002,120-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,12003,120-03,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,12004,120-04,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,13001,130-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,13002,130-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,13003,130-03,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,14001,140-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,14002,140-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,14003,140-03,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,14004,140-04,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,14005,140-05,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,15101,151-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,15102,151-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,15103,151-03,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,15104,151-04,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,15301,153-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,15302,153-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,15401,154-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,15402,154-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,16101,161-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,16102,161-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,16103,161-03,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,16104,161-04,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,16201,162-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,16202,162-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,16203,162-03,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,16204,162-04,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,16205,162-05,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,16301,163-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,16302,163-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,16303,163-03,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,16401,164-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,16501,165-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,16502,165-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,16503,165-03,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,16504,165-04,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,17001,170-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,17002,170-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,17003,170-03,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,18001,180-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,18002,180-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,18003,180-03,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,19101,191-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,19102,191-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,19103,191-03,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,19201,192-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,19202,192-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,20101,201-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,20102,201-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,20201,202-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,20202,202-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,20301,203-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,20302,203-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,20303,203-03,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,20304,203-04,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,21101,211-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,21102,211-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,21103,211-03,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,21201,212-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,21202,212-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,21203,212-03,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,21301,213-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,22101,221-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,22102,221-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,22103,221-03,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,22201,222-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,22202,222-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,22203,222-03,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,22204,222-04,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,23001,230-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,23002,230-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,23003,230-03,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,24001,240-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,24002,240-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,25101,251-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,25102,251-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,25103,251-03,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,25104,251-04,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,25201,252-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,25202,252-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,25203,252-03,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,25204,252-04,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,25205,252-05,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,26101,261-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,26102,261-02,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,26103,261-03,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-05T10:07:24Z,26201,262-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
