datum;ags;Bezirk-Nr;Bezirk-Name;Bezirk-Art;Wahlraum-Bezeichnung;Wahlraum-Adresse;Wahlraum-Barrierefrei;Wahlraum-Barrierefrei-Ergaenzung
06.11.2022;06412000;01001;010-01;W;Stadtbücherei Zentralbibliothek;Hasengasse 4, 60311 Frankfurt am Main;ja;
06.11.2022;06412000;01002;010-02;W;Stadtbücherei Zentralbibliothek;Hasengasse 4, 60311 Frankfurt am Main;ja;
06.11.2022;06412000;04001;040-01;W;Liebfrauenschule;Schäfergasse 23, 60313 Frankfurt am Main;ja;
06.11.2022;06412000;07001;070-01;W;Julius-Leber-Schule;Seilerstraße 32, 60313 Frankfurt am Main;ja;
06.11.2022;06412000;08001;080-01;W;Ludwig-Börne-Schule;Lange Straße 30-36, 60311 Frankfurt am Main;ja;
06.11.2022;06412000;09001;090-01;W;Weißfrauenschule;Gutleutstraße 38 / Moselstraße 11, 60329 Frankfurt am Main;ja;
06.11.2022;06412000;10001;100-01;W;Goethe-Gymnasium;Friedrich-Ebert-Anlage 24, 60325 Frankfurt am Main;ja;
06.11.2022;06412000;10002;100-02;W;Bettinaschule;Feuerbachstraße 37 / Brentanostraße 12, 60325 Frankfurt am Main;ja;
06.11.2022;06412000;11001;110-01;W;Anna-Schmidt-Schule;Gärtnerweg 13 / Fellnerstraße 1, 60322 Frankfurt am Main;ja;
06.11.2022;06412000;11002;110-02;W;Anna-Schmidt-Schule;Gärtnerweg 13 / Fellnerstraße 1, 60322 Frankfurt am Main;ja;
06.11.2022;06412000;12001;120-01;W;Musterschule;Oberweg 5-9, 60318 Frankfurt am Main;nein;
06.11.2022;06412000;12002;120-02;W;Musterschule;Oberweg 5-9, 60318 Frankfurt am Main;nein;
06.11.2022;06412000;12003;120-03;W;Haus der Volksarbeit;Eschenheimer Anlage 21, 60318 Frankfurt am Main;ja;
06.11.2022;06412000;12004;120-04;W;Musterschule;Oberweg 5-9, 60318 Frankfurt am Main;nein;
06.11.2022;06412000;13001;130-01;W;Klingerschule;Eingang: Mauerweg 1, 60316 Frankfurt am Main;ja;
06.11.2022;06412000;13002;130-02;W;Klingerschule;Eingang: Mauerweg 1, 60316 Frankfurt am Main;ja;
06.11.2022;06412000;13003;130-03;W;Klingerschule;Eingang: Mauerweg 1, 60316 Frankfurt am Main;ja;
06.11.2022;06412000;14001;140-01;W;Volkshochschule;Martin-Elsässer-Weg / Sonnemannstraße 13, 60314 Frankfurt am Main;ja;
06.11.2022;06412000;14002;140-02;W;Volkshochschule;Martin-Elsässer-Weg / Sonnemannstraße 13, 60314 Frankfurt am Main;ja;
06.11.2022;06412000;14003;140-03;W;Heinrich-von-Gagern-Gymn. Außenstelle;Hölderlinstraße 6, 60316 Frankfurt am Main;ja;
06.11.2022;06412000;14004;140-04;W;IGS-Herder;Wittelsbacherallee 6-12, 60316 Frankfurt am Main;ja;
06.11.2022;06412000;14005;140-05;W;Volkshochschule;Martin-Elsässer-Weg / Sonnemannstraße 13, 60314 Frankfurt am Main;ja;
06.11.2022;06412000;15101;151-01;W;Johanna-Kirchner-Altenhilfezentrum;Gutleutstraße 319, 60327 Frankfurt am Main;ja;
06.11.2022;06412000;15102;151-02;W;Berufsbildungszentrum;Schönstraße 21, 60327 Frankfurt am Main;ja;
06.11.2022;06412000;15103;151-03;W;Saalbau Haus Gutleut;Rottweiler Straße 32, 60327 Frankfurt am Main;ja;
06.11.2022;06412000;15104;151-04;W;Cronstetten-Haus;Eingang: Bachforellenweg / Speicherstr. 39-47, 60327 Frankfurt am Main;ja;
06.11.2022;06412000;15301;153-01;W;Pfarramt St. Gallus;Mainzer Landstraße 299, 60326 Frankfurt am Main;ja;
06.11.2022;06412000;15302;153-02;W;"AWO Kita Lahn'sche Höfe";Rebstöcker Straße 20, 60326 Frankfurt am Main;ja;
06.11.2022;06412000;15401;154-01;W;Internationale Kita;Ackermannstraße 44, 60326 Frankfurt am Main;ja;
06.11.2022;06412000;15402;154-02;W;Internationale Kita;Ackermannstraße 44, 60326 Frankfurt am Main;ja;
06.11.2022;06412000;16101;161-01;W;Falkschule;Ludwigstraße 34-38, 60327 Frankfurt am Main;nein;
06.11.2022;06412000;16102;161-02;W;Saalbau Haus Gallus;Frankenallee 111, 60326 Frankfurt am Main;ja;
06.11.2022;06412000;16103;161-03;W;Saalbau Haus Gallus;Frankenallee 111, 60326 Frankfurt am Main;ja;
06.11.2022;06412000;16104;161-04;W;Saalbau Haus Gallus;Frankenallee 111, 60326 Frankfurt am Main;ja;
06.11.2022;06412000;16201;162-01;W;Begegnungszentrum;Flörsheimer Straße 16, 60326 Frankfurt am Main;ja;
