nr,name,lon,lat,wahlberechtigt_2018,waehler_2018,gueltig_2018,feldmann_2018
1,Altstadt,8.682385346400634,50.11059669873516,2772,1035,1030,427
2,Innenstadt,8.682664888207869,50.113790989177375,4343,1074,1066,435
4,Westend-Süd,8.6594393465439925,50.11682467903111,13376,5835,5814,1814
5,Westend-Nord,8.666488952498467,50.128769620533795,6887,2761,2751,1064
6,Nordend-West,8.684596043386934,50.13022858244322,22988,10779,10743,4368
7,Nordend-Ost,8.69761974358955,50.127318654892264,17390,7852,7817,3578
8,Ostend,8.719218276147204,50.11554639352114,20946,8411,8358,3873
9,Bornheim,8.712407551447747,50.13090801018288,22232,9682,9633,4954
10,Gutleut- und Bahnhofsviertel,8.652137942960298,50.099479845695974,6802,2113,2103,831
11,Gallus,8.636377745265355,50.10300477630784,23958,6529,6488,2926
12,Bockenheim,8.632922516089874,50.12128753657858,27090,10377,10332,4546
13,Sachsenhausen-Nord,8.684579993638577,50.10051804775371,23441,9940,9897,4128
14,Sachsenhausen-Süd und Flughafen,8.629663957345496,50.0607635296547,20710,8739,8700,3702
16,Oberrad,8.727138168461476,50.09922899999497,9206,3109,3093,1491
17,Niederrad,8.636199605275262,50.081631798202295,16799,5412,5366,2712
18,Schwanheim,8.572652070944704,50.081760019105545,13936,5261,5217,2524
19,Griesheim,8.600109548586545,50.09781734654457,14910,3670,3632,1921
20,Rödelheim,8.603076601631098,50.127692431637506,12446,4518,4487,2108
21,Hausen,8.626134516198546,50.13524298077671,4518,1814,1796,889
22,Praunheim,8.61444644716483,50.14547905112678,11093,4365,4337,2109
24,Heddernheim,8.64020132453368,50.158128239125205,11867,4579,4546,2385
25,Niederursel,8.616911198776547,50.16683966510584,10458,3843,3818,1797
26,Ginnheim,8.648134546192246,50.14388748058928,11185,4310,4285,2101
27,Dornbusch,8.670541998003081,50.14434313041997,13527,6140,6102,2671
28,Eschersheim,8.659950213724542,50.16002839395001,11166,5005,4982,2159
29,Eckenheim,8.683795236784233,50.148564823086005,9638,3457,3425,1764
30,Preungesheim,8.697198159142667,50.15544843144313,10222,3983,3965,2025
31,Bonames,8.665887880254154,50.18258113675648,4467,1566,1549,862
32,Berkersheim,8.702941786636124,50.17015956481773,2607,1137,1129,515
33,Riederwald,8.73274589886058,50.12667040584185,3209,1070,1063,669
34,Seckbach,8.726644066440096,50.147246840458955,7419,2926,2909,1381
35,Fechenheim,8.762275115113775,50.12551773891441,10381,2571,2551,1475
36,Höchst,8.539657322936813,50.098523172532,9859,2527,2506,1251
37,Nied,8.57676379509509,50.103479453362766,12659,3730,3708,1975
38,Sindlingen,8.51273746688725,50.07800492013246,5763,1768,1748,1011
39,Zeilsheim,8.495768400332896,50.097784690964886,8012,2328,2299,1199
40,Unterliederbach,8.525490184772172,50.10992510336304,10485,3201,3176,1533
41,Sossenheim,8.574019745075416,50.12010605434964,10126,2684,2652,1270
42,Nieder-Erlenbach,8.709219115856458,50.20871646737095,3544,1808,1796,665
43,Kalbach-Riedberg,8.639008245521376,50.1846309062546,12409,5359,5333,2349
44,Harheim,8.689844680792895,50.18583895746724,3548,1846,1836,601
45,Nieder-Eschbach,8.668094243977997,50.20106152063871,8041,2979,2950,1204
46,Bergen-Enkheim,8.766772308170399,50.15913246211432,13431,5774,5742,2583
47,Frankfurter Berg,8.673427563622,50.169778678198924,5409,2049,2030,978
