STT,Shape_Leng,Shape_Area,NAME
"1",3246.50336244,506567.302747,Altstadt
"2",7682.0601294,1490200.89629,Innenstadt
"4",8382.11214938,2494895.4421,Westend-Süd
"5",5882.09282338,1630791.61391,Westend-Nord
"6",8492.9822688,3097758.64287,Nordend-West
"7",6360.44539376,1530531.93183,Nordend-Ost
"8",10941.4475374,5558007.54887,Ostend
"9",8307.7531642,2783942.45168,Bornheim
"10",10636.3052803,2336113.79188,Gutleut- und Bahnhofsviertel
"11",9966.86172965,4512465.83969,Gallus
"12",15551.0783172,8025712.89522,Bockenheim
"13",11334.2297164,4228538.08192,Sachsenhausen-Nord
"14",52725.6395956,54668620.6195,Sachsenhausen-Süd und Flughafen
"16",8408.63049619,2705423.33135,Oberrad
"17",11657.6724783,6119869.99388,Niederrad
"18",17370.1552298,14761540.2972,Schwanheim
"19",11666.167878,5096278.85391,Griesheim
"20",10601.4590033,4655909.71952,Rödelheim
"21",5971.99975786,1245429.93522,Hausen
"22",12819.2927644,5150078.39841,Praunheim
"24",7062.20915036,2512527.99004,Heddernheim
"25",17218.9119362,7400010.08944,Niederursel
"26",7927.28438588,2692768.59787,Ginnheim
"27",10408.8956447,2381980.04842,Dornbusch
"28",9996.16428731,3231404.25279,Eschersheim
"29",7947.72737103,2084449.0419,Eckenheim
"30",9713.20382227,3679083.90825,Preungesheim
"31",5429.38078236,1370475.09218,Bonames
"32",8758.27520312,3182489.49906,Berkersheim
"33",4041.52241905,976773.458365,Riederwald
"34",13052.9992861,7990475.22287,Seckbach
"35",13617.1503107,7074421.05332,Fechenheim
"36",13143.3336268,4593964.97889,Höchst
"37",9916.39176308,3704544.95018,Nied
"38",12879.9864686,3965052.07991,Sindlingen
"39",12399.4010702,5462797.97552,Zeilsheim
"40",12800.8758111,6015783.22976,Unterliederbach
"41",10792.909728,5914916.98748,Sossenheim
"42",13474.7203596,8360361.97443,Nieder-Erlenbach
"43",12576.9514872,6593988.59303,Kalbach-Riedberg
"44",10638.3166746,4832897.98209,Harheim
"45",11174.8124013,6343315.34634,Nieder-Eschbach
"46",18021.0142135,12591174.787,Bergen-Enkheim
"47",7901.77597555,2564397.7516,Frankfurter Berg
