"nr","name","ortsteilnr"
"01001","010-01",1
"01002","010-02",1
"04001","040-01",2
"07001","070-01",2
"08001","080-01",2
"09001","090-01",10
"10001","100-01",4
"10002","100-02",4
"11001","110-01",4
"11002","110-02",4
"12001","120-01",6
"12002","120-02",6
"12003","120-03",6
"12004","120-04",6
"13001","130-01",7
"13002","130-02",7
"13003","130-03",7
"14001","140-01",8
"14002","140-02",8
"14003","140-03",8
"14004","140-04",8
"14005","140-05",8
"15101","151-01",10
"15102","151-02",10
"15103","151-03",10
"15104","151-04",10
"15301","153-01",11
"15302","153-02",11
"15401","154-01",11
"15402","154-02",11
"16101","161-01",11
"16102","161-02",11
"16103","161-03",11
"16104","161-04",11
"16201","162-01",11
"16202","162-02",11
"16203","162-03",11
"16204","162-04",11
"16205","162-05",11
"16301","163-01",12
"16302","163-02",12
"16303","163-03",12
"16401","164-01",11
"16501","165-01",11
"16502","165-02",11
"16503","165-03",11
"16504","165-04",11
"17001","170-01",4
"17002","170-02",4
"17003","170-03",4
"18001","180-01",4
"18002","180-02",4
"18003","180-03",4
"19101","191-01",5
"19102","191-02",5
"19103","191-03",5
"19201","192-01",5
"19202","192-02",5
"20101","201-01",6
"20102","201-02",6
"20201","202-01",6
"20202","202-02",6
"20301","203-01",6
"20302","203-02",6
"20303","203-03",6
"20304","203-04",6
"21101","211-01",6
"21102","211-02",6
"21103","211-03",6
"21201","212-01",6
"21202","212-02",6
"21203","212-03",6
"21301","213-01",6
"22101","221-01",7
"22102","221-02",7
"22103","221-03",7
"22201","222-01",7
"22202","222-02",7
"22203","222-03",7
"22204","222-04",7
"23001","230-01",7
"23002","230-02",7
"23003","230-03",7
"24001","240-01",9
"24002","240-02",9
"25101","251-01",8
"25102","251-02",8
"25103","251-03",8
"25104","251-04",8
"25201","252-01",8
"25202","252-02",8
"25203","252-03",8
"25204","252-04",8
"25205","252-05",8
"26101","261-01",8
"26102","261-02",8
"26103","261-03",8
"26201","262-01",33
"26202","262-02",33
"27101","271-01",9
"27102","271-02",9
"27201","272-01",9
"27202","272-02",9
"27203","272-03",9
"27204","272-04",9
"27205","272-05",9
"28101","281-01",9
"28102","281-02",9
"28103","281-03",9
"28201","282-01",9
"28202","282-02",9
"28203","282-03",9
"29001","290-01",9
"29002","290-02",9
"30001","300-01",13
"30002","300-02",13
"32101","321-01",13
"32102","321-02",13
"32103","321-03",13
"32201","322-01",13
"32202","322-02",13
"32203","322-03",13
"32204","322-04",13
"32205","322-05",13
"32301","323-01",14
"32302","323-02",14
"32303","323-03",14
"32304","323-04",14
"32305","323-05",14
"32306","323-06",14
"32401","324-01",13
"32402","324-02",13
"32403","324-03",13
"32404","324-04",13
"32601","326-01",14
"32602","326-02",14
"32603","326-03",14
"33101","331-01",13
"33102","331-02",13
"33103","331-03",13
"33201","332-01",14
"33202","332-02",14
"33203","332-03",14
"33204","332-04",14
"33205","332-05",14
"33206","332-06",14
"34101","341-01",12
"34102","341-02",12
"34103","341-03",12
"34201","342-01",12
"34202","342-02",12
"34301","343-01",12
"34401","344-01",12
"35001","350-01",12
"35002","350-02",12
"35003","350-03",12
"35004","350-04",12
"36101","361-01",12
"36102","361-02",12
"36103","361-03",12
"36201","362-01",12
"36202","362-02",12
"36203","362-03",12
"36204","362-04",12
"37101","371-01",17
"37102","371-02",17
"37103","371-03",17
"37104","371-04",17
"37105","371-05",17
"37106","371-06",17
"37201","372-01",17
"37202","372-02",17
"37203","372-03",17
"37204","372-04",17
"37205","372-05",17
"37206","372-06",17
"38001","380-01",16
"38002","380-02",16
"38003","380-03",16
"38004","380-04",16
"38005","380-05",16
"38006","380-06",16
"39001","390-01",34
"39002","390-02",34
"39003","390-03",34
"39004","390-04",34
"39005","390-05",34
"39006","390-06",34
"39007","390-07",34
"40101","401-01",20
"40102","401-02",20
"40103","401-03",20
"40104","401-04",20
"40105","401-05",20
"40201","402-01",20
"40202","402-02",20
"40203","402-03",20
"40204","402-04",20
"41001","410-01",21
"41002","410-02",21
"41003","410-03",21
"42201","422-01",22
"42202","422-02",22
"42203","422-03",22
"42301","423-01",22
"42302","423-02",22
"42401","424-01",22
"42501","425-01",22
"42601","426-01",22
"42602","426-02",22
"43101","431-01",24
"43102","431-02",24
"43103","431-03",24
"43104","431-04",24
"43105","431-05",24
"43201","432-01",24
"43202","432-02",24
"43203","432-03",24
"43204","432-04",24
"44101","441-01",26
"44102","441-02",26
"44103","441-03",26
"44104","441-04",26
"44105","441-05",26
"44106","441-06",26
"44107","441-07",26
"44108","441-08",26
"44201","442-01",27
"44202","442-02",27
"44203","442-03",27
"44204","442-04",27
"45101","451-01",28
"45102","451-02",28
"45103","451-03",28
"45104","451-04",28
"45201","452-01",28
"45202","452-02",28
"45203","452-03",28
"45204","452-04",28
"46101","461-01",29
"46102","461-02",29
"46103","461-03",29
"46104","461-04",29
"46105","461-05",29
"46106","461-06",29
"46107","461-07",29
"46201","462-01",27
"46202","462-02",27
"46203","462-03",27
"46204","462-04",27
"46205","462-05",27
"46206","462-06",27
"46301","463-01",27
"46302","463-02",27
"47001","470-01",30
"47002","470-02",30
"47003","470-03",30
"47004","470-04",30
"47005","470-05",30
"47006","470-06",30
"47007","470-07",30
"48101","481-01",25
"48102","481-02",25
"48103","481-03",25
"48201","482-01",25
"48202","482-02",25
"48203","482-03",25
"48301","483-01",25
"49101","491-01",31
"49102","491-02",31
"49103","491-03",31
"49201","492-01",47
"49202","492-02",47
"49203","492-03",47
"49204","492-04",47
"50001","500-01",32
"50002","500-02",32
"51001","510-01",35
"51002","510-02",35
"51003","510-03",35
"51004","510-04",35
"52001","520-01",35
"52002","520-02",35
"52003","520-03",35
"53101","531-01",18
"53102","531-02",18
"53103","531-03",18
"53104","531-04",18
"53105","531-05",18
"53201","532-01",18
"53202","532-02",18
"53203","532-03",18
"53204","532-04",18
"53205","532-05",18
"53206","532-06",18
"54101","541-01",19
"54102","541-02",19
"54201","542-01",19
"54202","542-02",19
"54203","542-03",19
"55101","551-01",19
"55102","551-02",19
"55201","552-01",19
"55202","552-02",19
"55203","552-03",19
"56101","561-01",37
"56102","561-02",37
"56103","561-03",37
"56104","561-04",37
"56105","561-05",37
"56201","562-01",37
"56202","562-02",37
"56203","562-03",37
"56204","562-04",37
"57001","570-01",36
"57002","570-02",36
"57003","570-03",36
"58001","580-01",36
"58002","580-02",36
"59101","591-01",36
"59102","591-02",36
"60101","601-01",38
"60102","601-02",38
"60201","602-01",38
"60202","602-02",38
"60401","604-01",39
"61101","611-01",39
"61102","611-02",39
"61201","612-01",39
"61202","612-02",39
"62101","621-01",40
"62102","621-02",40
"62103","621-03",40
"62104","621-04",40
"62201","622-01",40
"62202","622-02",40
"62203","622-03",40
"63101","631-01",41
"63102","631-02",41
"63103","631-03",41
"63104","631-04",41
"63201","632-01",41
"63202","632-02",41
"63203","632-03",41
"64001","640-01",42
"64002","640-02",42
"64003","640-03",42
"65001","650-01",43
"65002","650-02",43
"65003","650-03",43
"65101","651-01",43
"65102","651-02",43
"65103","651-03",43
"65104","651-04",43
"65105","651-05",43
"65106","651-06",43
"65107","651-07",43
"66001","660-01",44
"66002","660-02",44
"66003","660-03",44
"67001","670-01",45
"67002","670-02",45
"67003","670-03",45
"67004","670-04",45
"67005","670-05",45
"67006","670-06",45
"68001","680-01",46
"68002","680-02",46
"68003","680-03",46
"68004","680-04",46
"68005","680-05",46
"68006","680-06",46
"68007","680-07",46
"68008","680-08",46
"68009","680-09",46
"68010","680-10",46
90101,"901-01",1
90201,"902-01",2
90202,"902-02",2
90401,"904-01",4
90402,"904-02",4
90403,"904-03",4
90404,"904-04",4
90405,"904-05",4
90501,"905-01",5
90502,"905-02",5
90503,"905-03",5
90601,"906-01",6
90602,"906-02",6
90603,"906-03",6
90604,"906-04",6
90605,"906-05",6
90606,"906-06",6
90607,"906-07",6
90608,"906-08",6
90609,"906-09",6
90701,"907-01",7
90702,"907-02",7
90703,"907-03",7
90704,"907-04",7
90705,"907-05",7
90706,"907-06",7
90707,"907-07",7
90801,"908-01",8
90802,"908-02",8
90803,"908-03",8
90804,"908-04",8
90805,"908-05",8
90806,"908-06",8
90807,"908-07",8
90808,"908-08",8
90809,"908-09",8
90901,"909-01",9
90902,"909-02",9
90903,"909-03",9
90904,"909-04",9
90905,"909-05",9
90906,"909-06",9
90907,"909-07",9
90908,"909-08",9
90909,"909-09",9
91001,"910-01",10
91002,"910-02",10
91003,"910-03",10
91101,"911-01",11
91102,"911-02",11
91103,"911-03",11
91104,"911-04",11
91105,"911-05",11
91106,"911-06",11
91107,"911-07",11
91108,"911-08",11
91201,"912-01",12
91202,"912-02",12
91203,"912-03",12
91204,"912-04",12
91205,"912-05",12
91206,"912-06",12
91207,"912-07",12
91208,"912-08",12
91209,"912-09",12
91210,"912-10",12
91211,"912-11",12
91301,"913-01",13
91302,"913-02",13
91303,"913-03",13
91304,"913-04",13
91305,"913-05",13
91306,"913-06",13
91307,"913-07",13
91308,"913-08",13
91309,"913-09",13
91310,"913-10",13
91401,"914-01",14
91402,"914-02",14
91403,"914-03",14
91404,"914-04",14
91405,"914-05",14
91406,"914-06",14
91407,"914-07",14
91408,"914-08",14
91409,"914-09",14
91601,"916-01",16
91602,"916-02",16
91603,"916-03",16
91701,"917-01",17
91702,"917-02",17
91703,"917-03",17
91704,"917-04",17
91705,"917-05",17
91706,"917-06",17
91801,"918-01",18
91802,"918-02",18
91803,"918-03",18
91804,"918-04",18
91805,"918-05",18
91806,"918-06",18
91901,"919-01",19
91902,"919-02",19
91903,"919-03",19
91904,"919-04",19
91905,"919-05",19
92001,"920-01",20
92002,"920-02",20
92003,"920-03",20
92004,"920-04",20
92005,"920-05",20
92101,"921-01",21
92102,"921-02",21
92201,"922-01",22
92202,"922-02",22
92203,"922-03",22
92204,"922-04",22
92205,"922-05",22
92401,"924-01",24
92402,"924-02",24
92403,"924-03",24
92404,"924-04",24
92405,"924-05",24
92501,"925-01",25
92502,"925-02",25
92503,"925-03",25
92504,"925-04",25
92601,"926-01",26
92602,"926-02",26
92603,"926-03",26
92604,"926-04",26
92701,"927-01",27
92702,"927-02",27
92703,"927-03",27
92704,"927-04",27
92705,"927-05",27
92706,"927-06",27
92801,"928-01",28
92802,"928-02",28
92803,"928-03",28
92804,"928-04",28
92901,"929-01",29
92902,"929-02",29
92903,"929-03",29
92904,"929-04",29
93001,"930-01",30
93002,"930-02",30
93003,"930-03",30
93004,"930-04",30
93101,"931-01",31
93102,"931-02",31
93201,"932-01",32
93301,"933-01",33
93401,"934-01",34
93402,"934-02",34
93403,"934-03",34
93501,"935-01",35
93502,"935-02",35
93503,"935-03",35
93504,"935-04",35
93601,"936-01",36
93602,"936-02",36
93603,"936-03",36
93701,"937-01",37
93702,"937-02",37
93703,"937-03",37
93704,"937-04",37
93801,"938-01",38
93802,"938-02",38
93901,"939-01",39
93902,"939-02",39
93903,"939-03",39
94001,"940-01",40
94002,"940-02",40
94003,"940-03",40
94004,"940-04",40
94101,"941-01",41
94102,"941-02",41
94103,"941-03",41
94104,"941-04",41
94201,"942-01",42
94202,"942-02",42
94301,"943-01",43
94302,"943-02",43
94303,"943-03",43
94304,"943-04",43
94305,"943-05",43
94401,"944-01",44
94402,"944-02",44
94501,"945-01",45
94502,"945-02",45
94503,"945-03",45
94601,"946-01",46
94602,"946-02",46
94603,"946-03",46
94604,"946-04",46
94605,"946-05",46
94701,"947-01",47
94702,"947-02",47
